22:18:32,203 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.712 seconds (JVM running for 3.193)
22:18:32,204 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
22:18:50,196 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] Getting a experience with PLAYER_ID: 12
22:18:50,219 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] The experience exists in DB.
22:19:16,709 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Getting a experience with PLAYER_ID: 22
22:19:16,711 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] The experience does not exist in DB.
22:19:16,711 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Creating a new experience.
22:20:41,922 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:20:42,233 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 33712 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:20:42,234 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:20:43,316 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:20:44,711 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.68 seconds (JVM running for 3.15)
22:20:44,712 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
22:20:50,787 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Getting a experience with PLAYER_ID: 22
22:20:50,813 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] The experience exists in DB.
22:20:56,127 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Updating a experience with PLAYER_ID: 22 and points: 100
22:20:56,129 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] The experience exists in DB.
22:21:12,048 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-4] Updating a experience with PLAYER_ID: 225 and points: 100
22:21:12,050 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-4] The experience does not exist in DB.
22:21:12,051 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-4] Creating a new experience.
22:25:09,703 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:25:10,035 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 34844 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:25:10,035 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:25:11,131 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:25:11,740 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application stopped.
22:26:17,974 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:26:18,288 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 50728 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:26:18,289 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:26:19,398 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:26:20,786 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.702 seconds (JVM running for 3.175)
22:26:20,787 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
22:26:47,347 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] Updating a experience with PLAYER_ID: 111 and points: 100
22:26:47,370 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] The experience does not exist in DB.
22:26:47,370 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] Creating a new experience.
22:38:40,415 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:38:40,728 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 64544 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:38:40,729 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:38:41,818 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:38:43,197 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.671 seconds (JVM running for 3.138)
22:38:43,198 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
22:38:54,878 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Updating a experience with PLAYER_ID: 111 and points: -500
22:38:54,903 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] The experience exists in DB.
22:38:54,946 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-2] Creating an experience log...
22:46:18,250 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:46:18,570 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 69312 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:46:18,570 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:46:19,685 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:46:21,108 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.749 seconds (JVM running for 3.226)
22:46:21,109 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Application started.
22:46:26,726 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] Getting a experience with PLAYER_ID: 111
22:46:26,747 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-1] The experience exists in DB.
22:46:44,221 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Updating a experience with PLAYER_ID: 111 and points: 1000
22:46:44,222 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] The experience exists in DB.
22:46:44,253 INFO  [com.platform.cloud.xpmanagement.controller.ExperienceServiceController] [http-nio-8081-exec-3] Creating an experience log...
22:49:55,825 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting Experience Management with version: null
22:49:56,136 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Starting AppStarter on DESKTOP-I4IQLD5 with PID 3964 (D:\Projects\xp-management\target\classes started by Yuhao in D:\Projects\xp-management)
22:49:56,136 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] No active profile set, falling back to default profiles: default
22:49:57,221 INFO  [com.platform.cloud.xpmanagement.ModuleConfiguration] [main] PROPERTIES: 'name=Experience Management'
22:49:58,704 INFO  [com.platform.cloud.xpmanagement.AppStarter] [main] Started AppStarter in 2.771 seconds (JVM running for 3.237)
